title,text
Watch Live: New Fauci Emails Contain Damning Details – MSM In Full Damage Control,"You have found the Friday edition of The American Journal, hosted by Harrison Smith."
Scientist At Center Of Lab Leak Controversy Put In Charge Of The Lancet’s Task Force To Investigate Virus Origin,"Revered scientific journal The Lancet has created a ‘task force’ to investigate the origins of the coronavirus that caused a global pandemic, yet it has decided to employ as its leader the very guy who funded the dangerous gain of function research at the Wuhan lab and subsequently allegedly ‘bullied’ other scientists into avoiding looking into the lab as a potential source of the outbreak. In the wake of renewed scrutiny of the lab leak hypothesis, the Lancet’s task force will reportedly “focus on analyzing data on all of the theories put forward on the origins of COVID, on the reasons why SARS-CoV-2 was able to break out of Wuhan and spread globally, and on the most plausible strategies to prevent future pandemics.” It also states that “The Task Force will review thoroughly and objectively all publicly available evidence, particularly the peer-reviewed literature, and conduct interviews with key leaders in science, medicine, policy and civil society.” ‘Objectively’. Right. Dr Peter Daszak, who is heading up this task force, is perhaps the least suitable scientist on the planet to objectively analyse the data, given his track record. Daszak, as President of the EcoHealth Alliance, shovelled at least $600,000 to the Wuhan Institute of Virology in the past few years to play around with coronaviruses inside the lab through the now infamous ‘gain of function’ research. Daszak, who also works for the World Health Organisation, is on record admitting that he was involved with manipulating coronaviruses. Here is a video of him talking in DECEMBER 2019 about how ‘good’ the viruses are for altering in a lab: Daszak notes that “coronaviruses are pretty good… you can manipulate them in the lab pretty easily… the spiked proteins drive a lot about what happens. You can get the sequence you can build the protein, we work with Ralph Baric at UNC to do this, insert into the backbone of another virus and do some work in a lab.” No wonder then that Daszak as lead investigator for the WHO investigation determined within 3 hours of visiting the Wuhan lab in February 2021 that there was ‘nothing to see here’? Recently released emails now document that Daszak thanked Dr Fauci for dismissing the lab leak theory before any scientific research had been done on the possibility. Daszak was later employed as an ‘expert fact checker’ by Facebook when it was monitoring and removing ‘misinformation’ about the origins of COVID on its platform, much of which was credible scientific research. Facebook has since reversed the policy of banning any posts containing information suggesting COVID-19 was “man-made”. Daszak’s Twitter profile is basically one long ‘it came from bats not a lab’ thread, much to the annoyance of some other scientists: Having approved the awarding of NIH funding to Wuhan Institute of Virology–twice–Fauci has a massive conflict of interest on subject.Failure to disclose this conflict of interest represents journalistic malpractice.— Richard H. Ebright (@R_H_Ebright) May 5, 2020 Why does this guy keep getting put in charge of investigations, task forces and ‘fact checking’, when it’s abundantly clear that he has the biggest motive to dismiss the lab leak notion? As microbiologist Professor Richard Ebright has noted, “Daszak was the contractor who funded the laboratory at the Wuhan Institute of Virology that potentially was the source of the virus with subcontracts from $200million [£142million] from the US Department of State and $7million [£5million] from the US National Institutes of Health and he was a collaborator and co-author on research projects at the laboratory.” Daszak has already lied about the type of research that was being conducted at the Wuhan lab, claiming, after the outbreak happened, that he didn’t know if it was gain of function or not. His own previous statements, and the Fauci emails prove he knew full well what was going on in the lab. In addition, as reported by The Daily Mail and other outlets, Daszak “orchestrated a ‘bullying’ campaign and coerced top scientists into signing off on a letter to The Lancet aimed at removing blame for Covid-19 from the Wuhan lab he was funding with US money.” Daszak used his influence to get the journal to publish the letter, which stated that to even suggest the lab leak theory had any credibility was equal to spreading “fear, rumours, and prejudice.” It effetely shut down discussion among the scientific ‘consensus’ of the lab leak potential for a whole year until intelligence findings brought the matter back to the attention of the mainstream media. WHO scientific advisor Jamie Metzl described Daszak’s letter as “scientific propaganda and a form of thuggery and intimidation.” “By labelling anyone with different views a conspiracy theorist, the Lancet letter was the worst form of bullying in full contravention of the scientific method,” Metzl added. The letter further stated that “We stand together to strongly condemn conspiracy theories suggesting that Covid-19 does not have a natural origin,” and even had the audacity to state that “We declare no competing interests.” Indeed, Daszak had made sure that the letter would be devoid of any link to EcoHealth, and even considered leaving his own name off it, emails released via the Freedom of Information Act have revealed. To make matters worse, the other members of The Lancet’s task force are practically all minions of Daszak, some of whom helped him draft the letter that unequivocally stated the lab leak theory was dangerous, and others who either worked with him on ‘fact checking’ for Facebook, or were cited as sources during that activity. Taking all this into account, it is obvious what the outcome of The Lancet’s inquiry will be, and it should not and cannot be used as credible evidence against the lab leak theory. ——————————————————————————————————————— ALERT! In the age of mass Silicon Valley censorship It is crucial that we stay in touch. We need you to sign up for our free newsletter here. Support our sponsor – Turbo Force – a supercharged boost of clean energy without the comedown. Also, we urgently need your financial support here. ———————————————————————————————————————"
Poll: Majority Of Americans Believe COVID Came From Wuhan Lab; A Quarter Believe It Was ‘Released On Purpose’,"Most Americans believe that the coronavirus pandemic originated in the Wuhan Institute of Virology, with almost a quarter saying they believe it was released on purpose, according to a YouGov poll. A total of 58% of Americans agree that its is ‘definitely or probably true’ that the virus came out of the Wuhan lab. Wuhan virus, most agree.58% believe China made the virus in a lab, and 24% say it was ‘released on purpose.' Sound familiar…https://t.co/j0BqPTWxdc pic.twitter.com/tTuWMEtG2C— Paul Bedard (@SecretsBedard) June 3, 2021 The number represents a nine percent increase on findings from a year ago. Even 43% of Democrats believe the virus came out of the lab. pic.twitter.com/4UruS05kya— Dr. Nickarama (@nickaramaOG) June 3, 2021 Only 13% are still buying the ‘it mutated naturally from bats’ claim. Indeed, YouGov notes “When it comes to the more specific circumstances of the virus’ emergence, 24% think it was created in a laboratory and was released on purpose, 18% think it was lab-created and escaped by accident, while a further 12% think it was a naturally occurring disease that was being examined in a laboratory but was released by accident.” This is despite a massive co-ordinated attempt by the establishment media and big-tech to censor and dismiss the lab leak idea as a crazy ‘conspiracy theory’. ——————————————————————————————————————— ALERT! In the age of mass Silicon Valley censorship It is crucial that we stay in touch. We need you to sign up for our free newsletter here. Support our sponsor – Turbo Force – a supercharged boost of clean energy without the comedown. Also, we urgently need your financial support here. ———————————————————————————————————————"
German Study Finds Lockdown ‘Had No Effect’ on Stopping Spread of Coronavirus,"A major new study by German scientists at Munich University has found that lockdowns had no effect on reducing the country’s coronavirus infection rate. Oh. “Statisticians at Munich University found “no direct connection” between the German lockdown and falling infection rates in the country,” reports the Telegraph. The study found that, on all three occasions before Germany imposed its lockdowns in November, December and April, infection rates had already begun to fall. The R rate – the number that indicates how many other people an infected person passes the virus to – was already under 1 before the lockdown restrictions came into force. As we highlighted last year, a leaked study from inside the German Ministry of the Interior revealed that the impact of the country’s lockdown could end up killing more people than the coronavirus due to victims of other serious illnesses not receiving treatment. This is by no means the only study to have concluded that lockdowns are completely useless and don’t work. A peer reviewed study published in January by Stanford researchers found that mandatory lockdowns do not provide more benefits to stopping the spread of COVID-19 than voluntary measures such as social distancing. Back in March, Stanford medical professor Dr. Jay Bhattacharya told Newsweek that COVID-19 lockdowns are “the single worst public health mistake in the last 100 years.” Earlier this year, academics from Duke, Harvard, and Johns Hopkins concluded that there could be around a million excess deaths over the next two decades as a result of lockdowns. Other research has concluded lockdowns will conservatively “destroy at least seven times more years of human life” than they save. ——————————————————————————————————————— ALERT! In the age of mass Silicon Valley censorship It is crucial that we stay in touch. I need you to sign up for my free newsletter here. Support my sponsor – Turbo Force – a supercharged boost of clean energy without the comedown. Also, I urgently need your financial support here. ———————————————————————————————————————"
50-Year-Old Mother Charged With ‘Transphobic Hate Crime’ For Tweeting a Photo of a Suffragette Ribbon,"A 50-year-old mother in Scotland has been charged with a ‘transphobic hate crime’ and faces up to two years in prison after she retweeted an image of a suffragette ribbon. Yes, really. Unhinged transgender activists targeted Marion Millar after ludicrously claiming that the ribbon represented a noose. The Scottish feminist drew their ire after campaigning to protect biological women’s spaces and right to express themselves. “The messages investigated by officers are understood to include a retweeted photograph of a bow of ribbons in the green, white and purple colours of the Suffragettes, tied around a tree outside the Glasgow studio where a BBC soap opera is shot,” reports the Times. Millar was forced to attend a 2 hour police interview and was subsequently charged under the Malicious Communications Act. A woman faces two years in prison for tweets. One was a photo of a suffragette ribbon that was deemed threatening because it supposedly resembled a noose. So how do we go about repealing these laws that criminalise free expression?https://t.co/O0zc1ZH98d — Andrew Doyle (@andrewdoyle_com) June 4, 2021 After the interview, Millar quoted Satanic Verses author Salman Rushdie: “Nobody has the right to not be offended. That right doesn’t exist in any declaration I have ever read.” “Police and politicians seem to have lost sight of this,” she added. Millar opposes gender self-identification because she asserts that it makes it easier for male sex predators to hide their intentions. “Gender identity is a belief. Not a fact. Sex is a fact. Not a belief. The law has no business in transforming facts into beliefs and beliefs into facts,” stated a sign carried by one of Millar’s supporters. #WeAreAllMarionMillar Show of support for @millar_marion this morning! pic.twitter.com/3zUX36DBEp — forwomen.scot (@ForwomenScot) June 3, 2021 “Women won’t wheesht (shut up),” Calder said. “These charges are a fundamental attack on our human rights. We still have the right to free thought and the ability to speak our minds.” One extremist trans activist responded to Millar being charged by tweeting a picture of a gun with the words, “Making a nice list of terfs tweeting @WomenWontWheesht because she needs target practice” (because they’re such nice people and all). While Marion Millar is being questioned by the police for refusing to accept gender ideology… …this profile fantasises about killing women, complete with gun imagery & then jokes about how scared they feel & laughs about being reported to the police. Who is oppressed again? pic.twitter.com/gmojMSp37o — gender is harmful (@genderisharmful) June 3, 2021 The United Kingdom, where legally protected free speech is now virtually non-existent, is notorious for arresting people for tweets simply on the basis that some offended idiot who identifies as ‘LGBT’ complained about it. After contacting his employers, Humberside Police interrogated a man and told him to “check his thinking” after he posted a limerick that offended a transgender person. Harry Miller told police he did not write the limerick and merely retweeted it, but was told by an officer, “Ah. But you liked it and promoted it. It’s not a crime, but it will be recorded as a hate incident.” ——————————————————————————————————————— ALERT! In the age of mass Silicon Valley censorship It is crucial that we stay in touch. I need you to sign up for my free newsletter here. Support my sponsor – Turbo Force – a supercharged boost of clean energy without the comedown. Also, I urgently need your financial support here. ———————————————————————————————————————"
Video: A Vindicated Rand Paul Decimates Fauci Over Emails,"Senator Rand Paul, who has constantly challenged the contradictory and unscientific statements of Dr Fauci, as well as pointing out Fauci’s involvement in funding gain of function research with coronaviruses at the Wuhan Institute of Virology, appeared vindicated in an interview Thursday following disturbing revelations from released emails, which Paul urged should be the final nail in Fauci’s coffin. Speaking to Laura Ingraham, Paul asserted that “The emails paint a disturbing picture, a disturbing picture of Dr. Fauci, from the very beginning, worrying that he had been funding gain-of-function research. He knows it to this day, but hasn’t admitted it.” The Senator also urged that Fauci’s involvement has not been adequately investigated because in the eyes of Democrats “he could do no wrong”. Are Fauci's days numbered? pic.twitter.com/bszGs7aRxL— Laura Ingraham (@IngrahamAngle) June 3, 2021 Paul pointed out that Fauci was denying that there was even any funding for gain of function research at the Wuhan lab just a few weeks back, a claim which is totally contradicted by his own emails in which he discusses it. “In his e-mail, within the topic line, he says ‘acquire of perform research.’ He was admitting it to his non-public underlings seven to eight months in the past,” Paul emphasised. The Senator also pointed to the email from Dr. Peter Daszak, President of the EcoHealth Alliance, a group that directly funded the Wuhan lab gain of function research, thanking Fauci for not giving credence to the lab leak theory. Ingraham asked Paul if Fauci could face felony culpability, to which the Senator replied “At the very least, there is ethical culpability,” and Fauci should be fired from his government roles. Earlier Paul had reacted to Amazon pulling Fauci’s upcoming book from pre-sale: Oh, I don’t know. I think they should publish it. I love science fiction.https://t.co/2ANc8IBTgs— Senator Rand Paul (@RandPaul) June 3, 2021 In softball interviews with MSNBC and CNN Thursday, Fauci dismissed the notion that his emails show any conflicts of interest, and claimed that it is in China’s “best interest” to be honest about the pandemic origins, adding that the US should not act “accusatory” toward the communist state. Fauci refuses to go after China for destroying evidence & refusing to cooperate with investigators; says the U.S. shouldn’t be “accusatory” as it will make them “pull back more” pic.twitter.com/BkoFdj4c7l— Tom Elliott (@tomselliott) June 3, 2021 Fauci also said it is “far fetched that the Chinese deliberately engineered something so that they could kill themselves, as well as other people.” Fauci on his redacted email about a possible China lab leak: “The idea, I think, is quite far fetched that the Chinese deliberately engineered something so that they could kill themselves, as well as other people. I think that’s a bit far out, John."" pic.twitter.com/GpyIsQWMWE— Tom Elliott (@tomselliott) June 3, 2021 ——————————————————————————————————————— ALERT! In the age of mass Silicon Valley censorship It is crucial that we stay in touch. We need you to sign up for our free newsletter here. Support our sponsor – Turbo Force – a supercharged boost of clean energy without the comedown. Also, we urgently need your financial support here. ———————————————————————————————————————"
"Prosecutor Claims Capitol Riot Caused $1,500,000 In Damages. BLM Riots Caused $2,000,000,000.","It would take over 1,300 Capitol riots to rival the monetary damages caused by the 2020 Black Lives Matter riots. The Washington Post reported Wednesday that federal prosecutor Mona Sedky “estimated damage to the Capitol at $1.5 million — the first time prosecutors have given a public cost estimate.” There’s no reason to believe the number is even that high. We all saw the “wreckage.” NJ Rep. Andy Kim helps clean up wreckage left by Capitol rioters https://t.co/sXNq3Lltm3 pic.twitter.com/H333uWmD2E— New York Post (@nypost) January 8, 2021 Federal prosecutors on Tuesday had to drop a case against an accused Capitol “rioter” because their “evidence” against him obtained by a paid FBI informant turned out to be a fraud. New York man's Capitol riot case dismissed due to lack of evidence https://t.co/ymd4GbTzs7 pic.twitter.com/5pDjPuciSI— New York Post (@nypost) June 2, 2021 From the New York Post: Prosecutors wrote to the Washington, DC, judge on Tuesday asking to drop charges against Christopher Kelly, a New York City resident who was captured in a viral photo near the US Capitol, shirtless and holding an American flag, according to court documents.Kelly was busted in January after the FBI said it obtained information from a paid informant that showed he had taken a photo from inside the Capitol building during the Jan. 6 siege.Kelly also allegedly boasted to several friends in a Facebook messaging group that he was in the nation’s capital that day with “ex NYPD and some proud boys,” according to charging documents.The charging documents included the viral photo that showed a shirtless Kelly holding an American flag near the US Capitol — but did not include any photos of him inside the building during the siege. The feds are not credible actors. The so-called “worst attack on our democracy” is monetarily a total nothingburger when compared to the 2020 BLM riots, which were the most damaging riots in US historyaccording to insurers’ estimates. The affordable housing complex BLM rioters burned down in Minneapolis cost $30 million just by itself. Fully loaded broadcast today as Dr. Jane Ruby guest hosts while Owen Shroyer is out. Dr. Ruby talks to expert data analyst Albert Benavides about new data he has gathered about the dangers involved with taking the experimental COVID-19 vaccine. In the second hour, Dr. Jane Ruby is joined by constitutional attorney Norm Pattis, for a discussion about our liberties and the fight to keep religious freedoms in Connecticut when it comes to mandatory vaccinations. Later in the rest of the second hour and first half of the third hour, Dr. Jane Ruby is joined by Dr. David Martin, who has been a powerful voice of truth in the fight against medical tyranny. The feds have been letting BLM rioters off easy and the DC government even just handed accused 2017 inauguration antifa rioters $1.6 million in a settlement for police allegedly using “excessive force.” Antifa were essentially paid by the state to riot during Trump’s inauguration. Whereas BLM and antifa set out to destroy everything in sight, video after video shows Capitol protesters went out of their way not to cause any damages. Just saw this @NewYorker video for the first time of the moment Q-Shaman temporarily ascended to the presidency of the Senate. pic.twitter.com/ka916CyWNt— Glenn Greenwald (@ggreenwald) January 19, 2021 iNsuRrECtiON https://t.co/PH4d2BeYlu— Julie Kelly 🇺🇸 (@julie_kelly2) May 25, 2021 Of course, the real “damage” the feds are angry about is the damage to their pride. That’s why Jan 6 protesters are being tortured, beaten, racially abused, locked in solitary confinement and held in indefinite detention while Black Lives Matter flags are being flown at US embassies all over the world!"
"NIH Director: Lab Theory Didn’t Get Attention It Maybe Should Have, But It Was on Mind of Me and Fauci","On Thursday’s broadcast of “PBS NewsHour,” NIH Director Dr. Francis Collins stated that the lab leak theory on the origin of COVID-19 “didn’t get nearly as much attention perhaps as it should have. I will tell you, it was always on my mind. I know it was on Tony Fauci’s mind.” Collins said, “I think it was a confusing time back then [early 2020], Judy. First, let me say, I do think we need to get answers here. An investigation is very much needed.” He added that back then, there was the theory that the virus was the result of bioweapons research, which wasn’t a viable theory, adding, “And so the idea that it was, on the other hand, a lab accident, where they were studying this virus, which maybe did occur in nature, but it got loose in the lab, that theory didn’t get nearly as much attention perhaps as it should have. I will tell you, it was always on my mind. I know it was on Tony Fauci’s mind. But none of us ran to the microphone to say, we need to worry about the fact that this could have been a lab leak. It — at the present time, we have no more data or less data to support that. Suddenly, it’s emerged in a lot of people’s minds as, oh, that’s the leading explanation.” The America First perspective on Fauci’s emails."
Russia’s $186 Billion Sovereign Wealth Fund Dumps All Dollar Assets,"Following a series of corporate cyberattacks that American intelligence agencies have blamed on Russian actors, Russia’s sovereign wealth fund (officially the National Wellbeing Fund) has decided to dump all of its dollars and dollar-denominated assets in favor of those denominated in euros, yuan – or simply buying precious metals like gold, which Russia’s central bank has increasingly favored for its own reserves. Finance Minister Anton Siluanov made the announcement Thursday morning at the annual St. Petersburg International Economic Forum. “We can make this change rather quickly, within a month,” Siluanov told reporters Thursday. He explained that the Kremlin is moving to reduce exposure to US assets as President Biden threatens more economic sanctions against Russia following the latest ransomware attacks. The transfer will affect $119 billion in liquid assets, Bloomberg reported, but the sales will largely be executed through the Russian Central bank and its massive reserves, limiting the market impact and reducing visibility on what exactly the sovereign wealth fund will be buying. “The central bank can make these changes to the Wellbeing Fund without resorting to market operations,” said Sofya Donets, economist at Renaissance Capital in Moscow. “This in some sense a technical thing.”Jordan Rochester, currency strategist at Nomura International PLC, said, “This is a transfer of euros from the central bank to the wealth fund, we’ll then see the central bank the holder of the USDs and it’s up to them to manage it. No initial market impact.” How oppressed are you when every major western capitol city is blanketed with your flag? The news isn’t a complete surprise: The Bank of Russia, Russia’s central bank, has steadily reduced its dollar holdings over the last few years amid increasing sanctions pressure from the US and Europe. That trend continued through President Trump’s term. Just a few days ago, we reported that the Russian parliament had just authorized the sovereign wealth fund to buy gold through the central bank. However, the central bank reports its holdings with a six-month lag, making it impossible to determine its current holdings. Russia’s gold holdings eclipsed its dollar reserves last year despite a halt in gold purchases. This was partly due to an increase in the value of its gold holdings with the rise in gold prices, and partly a function of the central bank’s continued efforts to shed dollar assets. The wealth fund currently holds 35% of its liquid assets in dollars, worth about $41.5 billion, with the same amount in euros and the rest spread across yuan, gold, yen and pounds. After this latest change, the fund’s assets will be held 40% in euros, 30% in yuan, 20% in gold and 5% each in yen and pounds, Siluanov said. Source: Bloomberg The wealth fund holds savings from Russia’s oil revenues above a cutoff price and is used to help offset shortfalls when the market falls below that level. Together with illiquid assets, its total value is $185.9 billion. A few years ago, Russian President Vladimir Putin warned that Washington was inadvertently accelerating de-dollarization with its aggressive financial sanctions, which were forcing its geopolitical adversaries to reduce their dependence on the greenback. Just last month, Russia reached a new milestone whereby fewer than 50% of its exports were paid for in dollars. Dedollarisation is inevitable as the US attempts to assert itself to prevent it's accelerating decline. Thus speeding up the attempts by Russia, China and others to remove themselves from the dollar. https://t.co/TeEO4K974A— Red Star Radio (@Red_Star_Radio) June 3, 2021 It appears that after years of steadily reducing its dependence on the dollar, Russia is about to intensify those efforts in a way that Washington will be forced to take notice."
‘Neither legal nor constitutional’: Virginia teacher who was put on leave for opposing gender pronoun rules SUES school district,"A Virginia gym teacher has sued his school district after he was placed on administrative leave and put under investigation for speaking out against a rule requiring him to address students by their chosen gender pronouns. Lawyers for Byron ‘Tanner’ Cross, a gym teacher at Leesburg Elementary School, filed suit against the Loudoun County School Board and two of the district’s top executives on Tuesday, alleging that he suffered “content and viewpoint-based retaliation” after openly opposing the pronoun rule at a board meeting last month. According to the lawsuit, Cross was called to meet with his superiors two days after he spoke out and told he was under investigation for “conduct that has had a disruptive impact on the operations” of the school. The core issue of the case, the suit said, is whether public schools can “punish a teacher for objecting… to a proposed policy” that would force them to“express ideas about human nature” that they believe are false – especially at a board meeting, which are meant to host open dialogue about school policies. The meeting included discussion of two transgender-related policy changes – allowing students to use the gender identity and pronouns of their choice, and letting them participate in sports activities based on their gender identity, rather than their biological sex. Cross said his comments were based on his sincerely held religious and philosophical beliefs, as well as his expertise and experience as an educator. “I love all of my students, but I will never lie to them, regardless of the consequences,” Cross said at the meeting. “I’m a teacher, but I serve God first, and I will not affirm that a biological boy can be a girl and vice versa, because it’s against my religion. It’s lying to a child, it’s abuse to a child, and it’s sinning against our god.” A video of his 45-second speech was widely shared on social media and attracted major media coverage. The Alliance for Defending Freedom (ADF), a conservative activist group, is representing Cross in the lawsuit. In a letterpublished on the teacher’s behalf last week, the ADF argued that “public schools have no business compelling teachers to express ideological beliefs that they don’t hold.” “The school favors certain beliefs, and it wants to force Tanner to cry uncle and endorse them as well. That’s neither legal nor constitutional, and neither was the school’s move to place Tanner on leave,” ADF Senior Counsel Tyson Langhofer said. Loudoun County is located about 40 miles northwest of Washington, DC. The school district has been embroiled in ideological controversies previously, including public backlash over a decision in March to “downgrade” the use of Dr. Seuss books during its ‘Read Across America Day,’ citing concerns about “racial undertones” in the popular author’s stories. On Wednesday, one day after the gym teacher’s lawsuit was filed, a group of parents reportedly sued the district in federal court over initiatives that allegedly discriminate against white students based on their race. The district has also stirred controversy for teaching critical race theory (CRT), a doctrine that posits that racism is deeply ingrained in American laws and institutions. Several states are seeking to ban or limit the teaching of CRT over concerns that it is divisive and encourages students to place undue focus on race. Republican-led legislatures in Idaho, Texas, Arkansas, Tennessee and Oklahoma have already passed bills restricting CRT in school curriculums."
