title,text
"Mexican rulers' lower house majority to shrink, results show","Mexicans pared back President Andres Manuel Lopez Obrador's power in elections on Sunday, an official projection based on early results showed, delivering his MORENA party and allies a reduced majority that will make sweeping change more difficult.The National Electoral Institute (INE) saw the ruling coalition winning between 265 and 292 of the 500 seats in the lower house, short of the two thirds majority needed to push through amendments to the constitution.The mid-term election was seen as a referendum on the president's policies and his shake-up of Mexico's institutions.The result, if confirmed, suggests voters want Lopez Obrador to tone down his plans to transform Mexico with an overhaul of politics and the economy. He has also toyed with constitutional changes to protect state energy companies.Since taking office in 2018 after a landslide victory, he has strengthened the role of the state in the energy sector and radically cut back on the cost of government to channel resources to the poor and his priority infrastructure projects.In the process, critics say, he has eroded institutional checks and balances and frequently criticized autonomous bodies, including the Bank of Mexico, prompting adversaries to sound the alarm about his concentration of power.The forecast outcome of the lower house election was in line with opinion polls late in the race, which showed Lopez Obrador's coalition losing some of its grip on the contest after a deadly metro accident in May and sexual abuse allegations against some of its most prominent candidates.Mexicans also chose 15 state governors and state lawmakers on Sunday. Results are still coming in. Opinion polls in recent days showed MORENA winning most of the 15 governors' races.'NOT HAPPY'The contest has taken place amid the COVID-19 pandemic and high levels of violent crime, with 91 politicians killed in this election cycle, according to security consultancy Etellekt.With security forces ramping up their presence in violence-plagued states Baja California, Guerrero, Michoacan and Sonora ahead of the election, crime was a top concern for many voters.In one incident on Sunday, a man threw a severed head at a voting station in the Terrazas del Valle neighborhood of the border city Tijuana as people voted. read more To stay on top in the long term, MORENA must improve its record on crime and the economy, officials, lawmakers and voters say. Mexico's economy contracted 8.5% in 2020, the most since the Great Depression of the 1930s, though it is now clawing back ground, lifted by U.S. demand. read more Olivia Aguirre, a 32-year-old academic in Mexico City who voted for Lopez Obrador in 2012 and 2018, said she was disillusioned with the president for his dismissal of women's protests against various problems including violence, a lack of support for renewable energy and what she called the ""authoritarian"" drift of his government.""I'm not happy about the direction the country is headed,"" she said after voting for the opposition in the city's Roma district.Many of her friends who had supported him felt the same way, though her parents still backed MORENA, she said. Early results pointed to setbacks in the capital for the ruling party.Even so, while voters have been critical of the government's record on job creation and fighting crime, skepticism of Mexico's former rulers, now in opposition, is marked. Lopez Obrador has also benefited from a coronavirus vaccine rollout.  read more The INE projections showed only moderate gains for the opposition coalition despite robust campaigning portraying Lopez Obrador as a danger to democracy.Voter Luis Dominguez, 36, in the small municipality of Cuaxomulco in the southeastern state of Tlaxcala said he was standing by the president.""We have to support him so he can complete his mission,"" said Dominguez.Our Standards: The Thomson Reuters Trust Principles."
China administered total of 777.88 mln doses of COVID-19 vaccines as of June 6,"China administered about 14.8 million doses of COVID-19 vaccines on June 6, bringing the total number administered to 777.88 million, data from the National Health Authority showed on Monday.Our Standards: The Thomson Reuters Trust Principles."
Thailand starts long awaited COVID-19 vaccination drive,"Thailand kicked off a long-awaited mass vaccination campaign on Monday as the country battles its third and worst wave of the coronavirus epidemic.The government aims to administer 6 million doses this month, hoping to ease worries over the highly anticipated roll-out and concerns about supply shortages.""The government will ensure that everyone is vaccinated,"" Prime Minister Prayuth Chan-ocha said in televised comments after he visited an inoculation centre in Bangkok.There were, however, early hiccups as some vaccine centres registered more than their quota, leading to postponements, senior health official Opas Karnkawinpong told a news conference.""We apologise if your vaccination appointment was postponed, but will make sure you are registered at the earliest,"" Opas said.Hospitals last week delayed vaccinations for nearly 40,000 people, citing a limited supply.  read more Thailand escaped the worst of the coronavirus pandemic as it hit other countries hard last year, but is now grappling with its deadliest outbreak. Officials have scrambled to source more vaccines amid the third wave, which so far accounts for more than 80% of its 179,886 total infections and 1,269 fatalities.Authorities on Monday said 235 cases of the B.1.617.2 variant, which ravaged India, had spread to nine provinces since it was first detected in Bangkok last month.The outbreaks has highlighted criticisms of the country's vaccine programme for an over-reliance on AstraZeneca shots produced by royal-owned Siam Bioscience, a slow roll-out and a confusing registration system.On Monday morning, 986 vaccination centres reported a total of 143,116 people received shots. That adds to 2.8 million people deemed vulnerable, including frontline health and transport workers.""My feeling is that no matter what, we will need to go outside of home for the littlest things, so getting the vaccine gives us a sense of relief,"" said Praepawee Lertpongkijja, 38, at a Bangkok vaccination centre.VACCINE SUPPLIESThe 6 million doses to be administered this month will be a mix of AstraZeneca (AZN.L) and imported Sinovac (SVA.O) vaccines.Concerns were raised last week over local production of the AstraZeneca vaccine by Siam Bioscience's after the Philippines said its order had been reduced and delayed.  read more The health ministry on Monday said it will receive an additional 3.42 million doses from AstraZeneca after mid-June said, did not specify how much would be locally made.It received 1.8 million locally-produced AstraZeneca shots on Friday. Another 200,000 doses from South Korea, a health ministry source told Reuters.The country expects to sign contracts this week for 20 million shots of the Pfizer (PFE.N)/BioNTech (22UAy.DE) vaccine and five million doses from Johnson & Johnson (JNJ.N) read more Private hospitals will offer two shots of the Moderna vaccine (MRNA.O) for 3,800 baht ($121.91) after October, an industry group said, adding 10 million doses had been ordered.($1 = 31.1700 baht)Our Standards: The Thomson Reuters Trust Principles."
Afghan schoolgirl determined to return to school after deadly blast,"Teenager Fatima Noori and her fellow pupils hug and pray as they gather in their Kabul classroom, just weeks after bombs exploded right outside the school gates, killing scores of their classmates.The Sayed Ul-Shuhada High School in the west of the city has remained closed since the May 8 bombings, but a local NGO and the Ministry of Public Health have been holding psychotherapy classes there for girls to help with any trauma.""When I first entered the school (after the blast) to attend the psychotherapy class, I was very scared and worried that the same incident might happen again,"" 15-year-old Fatima told Reuters last month. ""I even fainted near the school gate.""But Fatima said her resolve had grown since then and she was determined to return to school, even with the potential threat of another explosion.""I want to come back to school even more strongly than before and continue my studies,"" she said. ""I want to continue the path of those who were martyred.""Girls and boys at the high school study in three shifts. The May 8 attack targeted the second shift, which is for female students, Najiba Arian, spokeswoman for the Ministry of Education, told Reuters.Fatima was in the school corridor getting ready to go home when the first bomb exploded outside the school gate. Two more bombs detonated as people rushed to escape. At least 80 people were killed and 160 injured, most of them schoolgirls.1/8Fatima Noori, 15, looks at writing on a school wall as she arrives to attend psychotherapy class after a massive bomb exploded outside her school, that killed at least 80 students in Kabul, Afghanistan May 26, 2021. Picture taken May 26, 2021. REUTERS/StringerRead MoreNo group has claimed responsibility for the attack and the Taliban denied responsibility. But the minority Hazara neighbourhood where the school is located has repeatedly been targeted by militants.The United States and many other Western nations have touted girls' education as one of the key successes of years of foreign presence in Afghanistan.More than 3.5 million girls are now enrolled in school in the country, according to USAID, compared to none during the Taliban's rule from 1996 to 2001. But an estimated 3.7 million children remain out of school, 60% of them girls, according to UNICEF.Security is deteriorating as foreign forces prepare to leave Afghanistan later this year, emboldening some hard-line Islamist groups to threaten the progress made in girls' education.Fatima's father, 36-year-old Taqi Noori, said he thought about, but decided against, leaving the country.""There is always war in Afghanistan, but what can we do? This is our country ... if we go somewhere else, my children would be deprived of education,"" he said from their hillside home, about a 10-minute walk from Fatima's school.Fatima has continued her studies at home as she waits for the school to reopen, the timing of which remains uncertain.""I am interested in medical science, and I want to become a good doctor in the future to treat our security forces injured while defending our people, land, and our borders.""Our Standards: The Thomson Reuters Trust Principles."
Swiss to vote on whether to become first European nation to ban synthetic pesticides,"Switzerland could become the first European country to ban artificial pesticides in a June 13 referendum which backers of the initiative hope will trigger similar prohibitions elsewhere.Globally, only Bhutan has a complete ban on synthetic pesticides, according to supporters aiming to outlaw the use of products made by agro-chemical giants such as Switzerland's Syngenta and Germany's Bayer (BAYGn.DE) and BASF (BASFn.DE).Supporters of the ban say the artificial products cause serious health problems and reduce biodiversity. Manufacturers say their pesticides are rigorously tested and regulated, can be used safely and crop yields would slump without them.Another initiative to be voted on the same day aims to improve the quality of Switzerland's drinking water and food by stopping direct subsidies to farmers who use artificial pesticides and antibiotics in livestock.Switzerland has been starkly divided by an unusually bitter debate over the initiatives and the votes look set to be close. A recent Tamedia poll showed 48% of voters favoured the drinking water initiative and 49% supported the pesticide ban.If adopted, the proposals give farmers up to 10 years to make the transition, which would allow Switzerland to become a pioneer in organic food as well as an example to the rest of the world, Swiss wine maker Roland Lenz said.""Clean water, one of the foundations of life, is endangered,"" said Lenz, a 51-year-old organic farmer, whose vineyard is surrounded by farmers opposing the initiative.Syngenta, which is headquartered in Switzerland and owned by China National Chemical Corporation, opposes both initiatives, saying a ban would reduce agricultural yields by up to 40%.""The consequences of not using them are clear: fewer regional products, higher prices, and more imports. This is not in the interest of consumers, nor is it in the interest of the environment,"" a Syngenta spokesman said.LIFE UNDER SIEGEThe clean water initiative also wants farmers to stop using imported animal feed, to restrict the numbers of cows, pigs and chickens in Switzerland along with the manure they produce that can pollute drinking water.""People have been sold a romantic image of farming in Switzerland, which is far removed from reality,"" said Pascal Scheiwiller, a backer of the clean water campaign, which estimates 1 million Swiss people drink contaminated water.The Swiss Farmers Union said many of its members feel their way of life is under siege.""A lot of people in cities think if they have two tomatoes growing on the balcony of their apartment they understand farming,"" said Martin Haab, president of the Zurich Farmers Association.""I look back 200 years ago when we couldn't protect our plants and animals, and we had hunger in Switzerland and all over Europe,"" said Haab.Martin's son Dominic, who runs a dairy farm outside Zurich, said the consequences for the rural economy would be brutal, with local businesses also being hit by a fall in animal numbers to comply with the fodder restrictions.Wine maker Lenz, however, said to continue using pesticides was ""sheer lunacy"", especially when it was possible to use methods such as growing fruit with thicker skins to make them fungus resistant.“With a ‘Yes’ vote on both initiatives, we will finally move from the chemical age back to the organic age,” he said.Our Standards: The Thomson Reuters Trust Principles."
Analysis: India’s vaccine inequity worsens as countryside languishes,"Urban Indians are getting COVID-19 shots much faster than the hundreds of millions of people living in the countryside, government data shows, reflecting rising inequity in the nation’s immunisation drive.In 114 of India's least developed districts - collectively home to about 176 million people - authorities have administered just 23 million doses in total.That's the same number of doses as have been administered across nine major cities -- New Delhi, Mumbai, Kolkata, Chennai, Bengaluru, Hyderabad, Pune, Thane and Nagpur -- which combined have half the population of the least developed districts.The disparity was even stronger last month, after the government allowed private sales of vaccines for adults aged under 45 years, an offer which favoured residents of cities with larger private hospital networks. For the first four weeks of May, those nine cities gave 16% more doses than the combined rural districts, data from the government’s Co-WIN vaccination portal shows.""My friends from the city were vaccinated at private hospitals,"" said Atul Pawar, a 38-year-old farmer from Satara, a rural western district of Maharashtra, India's wealthiest state. ""I am ready to pay, but doses are not available and district borders are sealed because of the lockdown.""The Ministry of Health and Family Welfare said in a statement on Saturday that reports of vaccine inequity in India were ""inaccurate and speculative in nature"".""Liberalised pricing and accelerated national COVID-19 vaccination strategy ensures vaccine equity,"" it said, adding that smaller cities were also getting doses like the big ones.The ministry said it had asked states with fewer private hospitals to review the status of their vaccination campaigns and encourage some government-empanelled hospitals to strike deals with vaccine companies if need be.India has administered more than 222 million doses since starting its campaign in mid-January - only China and the United States have administered more - but it has given the required two doses to less than 5% of its 950 million adults.Rural India is home to more than two-thirds of the country's 1.35 billion people. While urban areas account for a disproportionately large share of the confirmed COVID-19 cases, those concerned about the spread of the virus in the countryside say statistics undercount cases in villages, where testing is less comprehensive.The health system in several regions in India collapsed in April and May as the country reported the world’s biggest jump in coronavirus infections, increasing pressure on the immunisation programme.1/2Suresh Kumar, 43, ties up the hair of his wife Pramila Devi, 36, who is suffering from the coronavirus disease (COVID-19), before taking her to a local government dispensary, at their home in Kaljikhal, in the northern state of Uttarakhand, India, May 23, 2021./File PhotoRead MorePrime Minister Narendra Modi's government offers vaccines to vulnerable people, healthcare workers and those aged over 45 for free. Since last month, individual states have also been expected to procure vaccines for younger adults, or to provide them commercially through the private sector.Poorer states say this leaves their residents more vulnerable. The eastern state of Jharkhand, where nearly all districts are categorised as poor, this week urged Modi to give it free vaccines for all age groups.In many states the doses for those under 45 are available mostly or entirely in urban areas. Some officials say this is intentional, as the infection spreads more easily in crowded cities.""It's because of high-positivity"" in urban areas, said Bijay Kumar Mohapatra, health director of the eastern state of Odisha, explaining the state's decision to prioritise cities.Major international and domestic firms such as Microsoft (MSFT.O), Pepsi (PEP.O), Amazon (AMZN.O), Reliance Industries (RELI.NS), Adani Group and Tata Motors (TAMO.NS) have organised inoculations for their employees, in many cases in partnership with private hospitals. Most of these companies and the huge private hospitals that serve them are located in urban centres.Vaccination rates in rural areas have also been depressed because of patchier internet access to use the complex online system for signing up for shots, and possibly because of greater hesitancy among villagers than among city dwellers.""LUCRATIVE DEALS""India's Supreme Court criticised the government's handling of the vaccination programme this week and ordered it to provide a breakdown of shots given in rural and urban areas.""Private hospitals are not equally spread out"" across the country and ""are often limited to bigger cities with large populations"", the top court said in its order dated May 31.""As such, a larger quantity will be available in such cities, as opposed to the rural areas,"" it said. Private hospitals may prefer to sell doses ""for lucrative deals directly to private corporations who wish to vaccinate their employees"".Dr. Rajib Dasgupta, head of the Centre of Social Medicine and Community Health at New Delhi's Jawaharlal Nehru University, said the risk of inequity was that parts of India would build up immunity disproportionately.“It can leave the rural population relatively more vulnerable.”Our Standards: The Thomson Reuters Trust Principles."
Meghan and Harry name baby daughter after Queen Elizabeth and Diana,"Meghan, Britain’s Duchess of Sussex, has given birth to her second child, a girl, whom she and husband Prince Harry have named after Queen Elizabeth and his late mother Princess Diana.Lilibet 'Lili' Diana Mountbatten-Windsor was born on Friday at the Santa Barbara Cottage Hospital in California, with Harry in attendance. The couple's first child, Archie, was born in 2019.The choice of name pays tribute to the queen after a difficult year for the couple, and the wider royal family. Lilibet is a family nickname for the 95-year-old British monarch.Buckingham Palace said the queen, Harry’s father Prince Charles and his brother and wife, Prince William and Kate, were delighted with the news. Britain’s Prime Minister Boris Johnson joined them in sending his congratulations.William and Kate said via their official Twitter account: ""We are all delighted by the happy news of the arrival of baby Lili. Congratulations to Harry, Meghan and Archie.""Meghan and Harry announced the birth with a statement.""On June 4th, we were blessed with the arrival of our daughter, Lili. She is more than we could have ever imagined, and we remain grateful for the love and prayers we've felt from across the globe,"" they said.""Thank you for your continued kindness and support during this very special time for our family.""Harry and Meghan said Lilibet's middle name was chosen to honour her grandmother, Princess Diana, who died in a Paris car crash in 1997.Both mother and baby - who is eighth in line to the throne - were doing well and were back at home, their press secretary said.The nature of the announcement, almost two days after the birth, reflects the new life the couple have chosen in the United States.When William's wife Kate gave birth to her three children in recent years, she emerged each time alongside her husband from a London hospital just a few hours later to be photographed by the world's media that had camped out in the street.1/6Britain's Meghan, the Duchess of Sussex, and Prince Harry, Duke of Sussex, attend a roundtable discussion on gender equality at Windsor Castle, Windsor, Britain October 25, 2019. Jeremy Selwyn/Pool via ReutersRead MoreCRISISThe birth of Lilibet comes almost a year and a half after Harry and Meghan announced that they intended to step down from their royal roles, plunging the family into crisis.The situation deteriorated sharply in March this year when they gave an explosive interview to U.S. chat show host Oprah Winfrey, accusing one unnamed royal of making a racist remark and saying Meghan's pleas for help when she felt suicidal were ignored.The 39-year-old, whose mother is Black and father is white, said she had been naive before marrying into royalty.Harry, 36, and Meghan live in a secluded $14 million mansion in the celebrity enclave of Montecito, about 80 miles (130 km) north of Los Angeles, which is also home to Winfrey, comedian Ellen DeGeneres, and other celebrities.Harry's last major public appearance was at a VAX Live concert in Los Angeles on May 2. Meghan appeared by video at the concert, which aimed to boost vaccinations worldwide against the coronavirus.Meghan disclosed in a November 2020 essay that she suffered a miscarriage in July 2020.After the interview with Winfrey, Harry made further public criticism of his childhood, creating another public relations problem for the royal family which is led by the queen and 72-year-old Prince Charles.Just last month Harry spoke of the trauma of the loss of his mother and how that was compounded when he had to walk as a 12-year-old behind her coffin in a funeral cortege under the glare of the world's media.The queen, who lost her husband Prince Philip in April after 73 years of marriage, has said she was saddened to learn of the experiences of Harry and Meghan.The couple said they would be taking parental leave from their charity Archewell and have asked people who want to send gifts to support or learn about charities doing work for women and girls, the Archewell website said.The names given to the baby also echo those given to the only daughter of Prince William, Harry’s elder brother, who is called Charlotte Elizabeth Diana.Our Standards: The Thomson Reuters Trust Principles."
Taxi for hire! Bangkok cabbie hopes to capitalise on his COVID-19 shot,"After losing countless fares during the pandemic, Thai taxi driver Sombat Subin has sought to reassure nervous clients by letting them know in three languages on the sign above his cab that he has been vaccinated against COVID-19.""I think the lit-up sign creates confidence for passengers and I feel that it has also helped increase my income,"" said Sombat, from Nonthaburi, a province north of Bangkok.The 43-year-old said the sign, which reads ""Vaccine"" and then ""COVID"" with a tick next to it and appears in Thai, English and Mandarin, was a conversation piece in his taxi.""It's to confirm to them that the driver has been fully vaccinated... So, the passengers are not afraid,"" he said.Sombat said he became a taxi driver three years ago after finding working in an office stifling. Before the pandemic, he earned about 60,000 baht ($1,920) a month, but this has slumped to as little as 10,000 baht during the latest wave of infections.Thailand had managed to largely contain virus cases for much of last year, but since April has struggled to quell its most serious outbreak so far that includes more contagious variants.This has increased pressure on authorities to speed up vaccinations with the country's rollout lagging many neighbours.Only 2.7 million Thais have received a first vaccine dose and the government has been scrambling to source more.Authorities have tried to prioritize frontline workers including taxi drivers and public transport staff.Kanokwan Sattawong, a passenger in Sombat's taxi, said: ""I feel more confident when drivers are fully vaccinated and feel safe to use public transportation.""Our Standards: The Thomson Reuters Trust Principles."
Pakistani train smashes into derailed carriages; 36 killed,"A train in Pakistan smashed into derailed carriages of another train on Monday, killing at least 36 people, government officials said, in the latest accident to highlight the perilous state of a more-than-165 year old railway system.The death toll was likely to rise as rescuers struggled to reach people trapped in several mangled compartments strewn across the tracks in the southern province of Sindh.A Pakistan Railways spokesman said at least 33 bodies had been taken to hospitals, among them two railway officials. More than 100 people were injured, he told Reuters.Police officer Umar Tufail said the toll rose to 36, and that his men could see four more bodies stuck in the wreckage.""We have not been able to take them out so far, but an operation is underway for that,"" he told reporters at the site. ""We have saved three more people; they are injured,"" he added.An injured passenger, who had been travelling on the train that derailed, recounted how one calamity led to another.""We felt as if we had been thrown away,"" the man, who had a bandaged head, told a television reporter from hospital, speaking of the initial derailing of his train.""The second train then hit our train that caused more damage,"" he said.The Pakistan Railways spokesman said several carriages of the first train fell across the adjacent track after the derailment in the Ghotki district.1/5Paramilitary soldiers and rescue workers gather at the site following a collision between two trains in Ghotki, Pakistan June 7, 2021. REUTERS/StringerRead MoreThe second train, coming from the other direction, then smashed into them, he added.""The driver tried to apply emergency brakes but the locomotive hit the infringing coaches,"" Pakistan Railways said in an initial report.""The track has got issues on several points, the coaches are old, some as old as 40 years,"" railway official Khalid Latif told Geo News TV.""I've told high-ups several times 'please do something about it',"" he said.Prime Minister Imran Khan said on Twitter he was shocked by the ""horrific"" accident and was ordering a comprehensive investigation into railway safety.Accidents on the decrepit system are common.In 2005, in the same district about 130 people were killed when a crowded passenger train rammed into another at a station and a third train hit the wreckage.Successive governments have been trying to secure funds to upgrade the system for years. Recently, Pakistani officials have been hoping China might help to finance work on the network as part of its Belt and Road Initiative of energy and infrastructure projects.“It’s very unfortunate,” Information Minister Fawad Chaudhry said of the crash. “Our railway system has needed an overhaul for a long time.”Our Standards: The Thomson Reuters Trust Principles."
Fujimori in lead in first official Peruvian presidential vote results,"Conservative candidate Keiko Fujimori had a 52.9% share of the vote while socialist rival Pedro Castillo had a 47.1% share, with 42% of the votes counted by early Monday morning.Two previous pollster surveys put the candidates in a technical draw. A fast count of 100% of the results conducted by Ipsos Peru hours earlier handed schoolteacher Castillo, 51, a 0.4% lead over Fujimori, while an Ipsos exit poll previously gave her a 0.6% lead.Our Standards: The Thomson Reuters Trust Principles."
